ID,Barcode,ProductName,Category,SearchDate,BranchID,Branch Name,ItemFoundStatus
2628,9781787394599,Prada,10173-E Fashion,2025-03-15 17:29:45.703,2,Zamalek,Found
2629,9781405293181,Good Girl's Guide to,"10343-YA Adventure, Mystery & Thriller",2025-03-15 18:52:44.293,2,Zamalek,Found
2630,9786010030930,La Pochette,10286-General Personal Accessories,2025-03-15 18:55:05.507,14,Maadi,Found
2631,9786009970460,Small Wallet with Na,10286-General Personal Accessories,2025-03-15 18:56:11.490,14,Maadi,Found
2632,9788010031142,,,2025-03-15 19:03:27.033,2,Zamalek,Not Found
2633,9781529430073,How To Solve Your Ow,10209-E Mystery & Thrillers,2025-03-15 19:10:37.847,2,Zamalek,Found
2634,www.aseeralkotb.com,,,2025-03-15 19:11:01.117,2,Zamalek,Not Found
2635,9789776972803,القصر الأحمر,10030-A Modern Translated Fiction,2025-03-15 19:11:06.280,2,Zamalek,Found
2636,9788883419805,Ahmed Farid,10142-E Artists A-Z,2025-03-15 19:19:25.563,14,Maadi,Found
2637,9781646710850,Wisdom from the Epic,10211-E New Age,2025-03-15 19:21:56.687,2,Zamalek,Found
2638,9781646710850,Wisdom from the Epic,10211-E New Age,2025-03-15 19:21:59.507,2,Zamalek,Found
2639,9780061125898,Monk Who Sold His Fe,10214-E Personal Growth,2025-03-15 19:40:17.637,2,Zamalek,Found
2640,9781408855652,Philosopher's Stone,10348-YA Fantasy,2025-03-15 19:53:32.477,14,Maadi,Found
2641,9781481432559,Love & Gelato,10346-YA Coming-of-Age,2025-03-15 19:59:22.227,2,Zamalek,Found
2642,9781338741070,Lord of the Fleas,10364-CE Graphic Novels & Comics (MG),2025-03-15 20:11:00.050,3,Heliopolis,Found
2643,4007817037218,Staedtler Box contai,10050-Art Tools,2025-03-15 20:13:29.870,3,Heliopolis,Found
2644,4712759211434,5 Colours Film Index,10329-Sticky Notes,2025-03-15 20:18:27.060,2,Zamalek,Found
2645,6464655118659,B/O Nail Art Set W/L,10416-Toys,2025-03-15 20:28:46.187,14,Maadi,Found
2646,6464655118659,B/O Nail Art Set W/L,10416-Toys,2025-03-15 20:29:06.697,14,Maadi,Found
2647,9781547604173,Court of Thorns and,10348-YA Fantasy,2025-03-15 20:35:00.357,14,Maadi,Found
2648,9786010030879,The JLG A6 Analog,10312-Notebooks,2025-03-15 20:36:56.960,14,Maadi,Found
2649,9786010040373,Yellow & Kraft Softc,10312-Notebooks,2025-03-15 20:37:33.337,14,Maadi,Found
2650,3555801288289,Professional Make-Up,10134-Crafts,2025-03-15 20:38:47.143,14,Maadi,Found
2651,6464655118604,B/O Nail Set W.Bx (S,10416-Toys,2025-03-15 20:41:17.620,14,Maadi,Found
2652,6464655118604,B/O Nail Set W.Bx (S,10416-Toys,2025-03-15 20:41:25.190,14,Maadi,Found
2653,9781338801910,Twenty Thousand Flea,10090-CE Favourite series(MG),2025-03-15 21:02:14.313,14,Maadi,Found
2654,6901234568141,Color Lab (SS-19-026,10134-Crafts,2025-03-15 21:07:36.710,14,Maadi,Found
2655,6901234568141,Color Lab (SS-19-026,10134-Crafts,2025-03-15 21:07:43.420,14,Maadi,Found
2656,9781837822478,Feng Shui Your Life,10214-E Personal Growth,2025-03-15 21:14:25.950,2,Zamalek,Found
